Colaborador,Fuente,Sexo,Origen,Nacimiento,Muerte
"Alsamora, Juan",http://viaf.org/viaf/249994179,M,NA,NA,NA
"Alsina, Adolfo",http://viaf.org/viaf/33376090,M,Argentina,1829,1877
"Altamira, Rafael",http://viaf.org/viaf/56630614,M,España,1866,1951
"Altamirano, Ignacio Manuel",http://viaf.org/viaf/4968421,M,México,1834,1893
"Altolaguirre, Manuel",http://viaf.org/viaf/2482525,M,España,1905,1959
"Alva de la Canal, Ramón",http://viaf.org/viaf/68145756,M,México,1892,1985
"Álvarez Armesto, Primitivo",http://viaf.org/viaf/21456009,M,España,1864,1939
"Álvarez Bravo, Manuel",http://viaf.org/viaf/76372784,M,México,1902,2002
"Álvarez Cerón, Marceliano",http://viaf.org/viaf/298146284443315331760,M,España,1893,1969
"Alvarez del Castillo, Manuel",http://viaf.org/viaf/70502434,M,México,1860,1887
"Álvarez del Vayo, Julio",http://viaf.org/viaf/110915826,M,España,1891,1975
"Álvarez Guerra, Juan",http://viaf.org/viaf/106991330,M,España,1843,1905
"Alvarez Marrón, Manuel",https://www.tineo.es/c/document_library/get_file?uuid=8036313a-7199-4628-bbbe-6314c6540fc5&groupId=176602,M,España,1864,NA
"Álvarez Quintero, Joaquín",http://viaf.org/viaf/64153963,M,España,1873,1944
"Álvarez Quintero, Serafín",http://viaf.org/viaf/88977969,M,España,1871,1938
"Álvarez y González, Feliciano",https://pacopantin.com/2016/12/17/feliciano-alvarez-gonzalez-1877-1935/,M,España,1877,1935
"Álvarez, Agustín",http://viaf.org/viaf/56197904,M,Argentina,1857,1914
"Álvarez, Valentín Andrés",http://viaf.org/viaf/22223510,M,España,1891,1982
"Alvaro, Corrado",http://viaf.org/viaf/29573259,M,Italia,1895,1956
"Alves Pereira, Mario",http://viaf.org/viaf/99858675,M,Portugal,NA,1971
"Amado Herrero, Luis Diaz",http://viaf.org/viaf/99421905,M,NA,NA,NA
"Amador, Fernán Félix de",http://viaf.org/viaf/56618850,M,Argentina,1889,1954
"Ambrogi, Arturo",http://viaf.org/viaf/69180193,M,El Salvador,1874,1936
"Ambruzzi, Lucio",http://viaf.org/viaf/74031482,M,Italia,1865,1952
"Ameal, João",http://viaf.org/viaf/11236667,M,Portugal,1902,1982
"Ameghino, Florentino",http://viaf.org/viaf/14888610,M,Argentina,1854,1911
"Amero, Emilio",http://viaf.org/viaf/96704480,M,México,1901,1976
"Amiel, Henri-Frédéric",http://viaf.org/viaf/39372874,M,Suiza,1821,1881
"Amor Meilan, Manuel",http://viaf.org/viaf/51189655,M,España,1867,1933
"Amor y Naveiro, Constante","https://viaf.org/viaf/204368742/#Amor_y_Neveiro,_Constante",M,España,1862,1935
"Amorim, Enrique",http://viaf.org/viaf/41856621,M,Uruguay,1900,1960
"Amorós y Vázquez de Figueroa, Juan Bautista",https://es.wikipedia.org/wiki/Silverio_Lanza,M,España,1856,1912
Anacreon,http://viaf.org/viaf/100165204,M,Grecia,-540,-485
"Anderson Imbert, Enrique",http://viaf.org/viaf/59095797,M,Argentina,1910,2000
"Anderson, Sherwood",http://viaf.org/viaf/39372890,M,Estados Unidos,1876,1941
"Andrade Coello, Alejandro",http://viaf.org/viaf/11320124,M,Ecuador,1886,NA
"Andrade, Ignacio",http://viaf.org/viaf/89955107,M,Venezuela,1836,1925
"Andrade, Juan",http://viaf.org/viaf/51731158,M,España,1897,1981
"Andrade, Mário de",http://viaf.org/viaf/19688448,M,Brasil,1893,1945
"Andrade, Olegario Víctor",http://viaf.org/viaf/17084747,M,Argentina,1839,1882
"Andrade, Oswald de",http://viaf.org/viaf/39372900,M,Brasil,1890,1954
"André, Francis",http://viaf.org/viaf/64015265,M,Bélgica,1897,1976
Andreu Aleu i Teixidor,http://viaf.org/viaf/95923332,M,España,1832,1901
