Colaborador,Fuente,Seudonimo,Sexo,Origen,Nacimiento,Muerte,GND_ID,Wikidata_ID,Colaboradores_GND,Sexo o género_GND,Fecha de nacimiento_GND,Fecha de fallecimiento_GND,Lugar de nacimiento GND,País de origen GND,Colaboradores_Wikidata,sexo o género_Wikidata,Lugar de nacimiento_Wikidata,País de origen_Wikidata,Fecha de nacimiento_Wikidata,Fecha de fallecimiento_Wikidata,Colaborador_VIAF,Link_VIAF,Otras fuentes,
"Laverde Liévano, Manuel","https://www.google.de/books/edition/Libro_azul_de_Colombia_Blue_book_of_Colo/fUIJAwAAQBAJ?hl=es&gbpv=1&dq=Laverde+Li%C3%A9vano,+Manuel&pg=PA406&printsec=frontcover",,M,Colombia,1890,,,,,,,,,,,,,,,,,http://viaf.org/viaf/2009517,,
"Lavigerie, Charles Martial",,,M,Francia,1825,1892,https://d-nb.info/gnd/118570323,https://www.wikidata.org/wiki/Q369832,https://www.wikidata.org/wiki/Q369832,,,,,,,,,,,,,http://viaf.org/viaf/49227869,,
"Le Blond, M.",http://viaf.org/viaf/59168256,NA,M,Francia,1877,1944,NA,https://www.wikidata.org/wiki/Q3301011,NA,NA,NA,NA,NA,NA,Maurice Le Blond,M,Niort,Francia,26/02/77,16085,"Le Blond, Maurice",http://viaf.org/viaf/59168256,,
"Le Bon, Gustave",https://it.wikipedia.org/wiki/Gustave_Le_Bon,NA,M,Francia,1841,1931,https://d-nb.info/gnd/116850094,https://www.wikidata.org/wiki/Q294572,"Le Bon, Gustave",M,1841,1931,Nogent-le-Rotrou,Francia,Charles Marie Gustave Le Bon,M,Nogent-le-Rotrou,Francia,7 de May de 1841,11670,"Le Bon, Gustave",http://viaf.org/viaf/36920715,,
"Le Breton, Fanny",https://www.wikidata.org/wiki/Q17259326,Hephell,F,Francia,1850,1894,1159085498,Q17259326,Hephel,,,,,,Hephell,female,,,1850-01-01,1894-01-01,Hephel,http://viaf.org/viaf/73977595/,,
"Le Moyne, Arnaud Auguste Hilaire",https://www.wikidata.org/wiki/Q55946844,,M,Francia,1800,1891,1057554529,Q55946844,"LeMoyne, Auguste",Unbekannt,,,,,Auguste Le Moyne,male,Paris,France,1800-05-10,1891-01-06,"Le Moyne, Arnaud Auguste Hilaire",https://viaf.org/viaf/1856001/,,
"Leal, Eutiquio",https://www.wikidata.org/wiki/Q5852463,n.v. Jorge Hernández Barrio,M,Colombia,1928,1997,1057210056,Q5852463,"Leal, Eutiquio",Unbekannt,,,,,Eutiquio Leal,male,Chaparral,Colombia,1928-12-12T00:00:00Z,1997-05-13T00:00:00Z,"Leal, Eutiquio",http://viaf.org/viaf/41943593,41943593,
"Leconte de Lisle, Charles-Marie",https://es.wikipedia.org/wiki/Leconte_de_Lisle,,M,Francia,1818,1894,118726978,Q309704,Leconte de Lisle,Männlich,1818,1894,,,Charles Marie René Leconte de Lisle,male,Saint-Paul,France,1818-10-22,1894-07-17,"Leconte de Lisle, 1818-1894",https://viaf.org/viaf/64008239/,,
"Lecuna, Vicente",,,M,Venezuela,1870,1954,,,,,,,,,,,,,,,,http://viaf.org/viaf/143144782966128818041,,
"Legouvé, Ernest",https://es.wikipedia.org/wiki/Ernest_Legouv%C3%A9,,M,Francia,1807,1903,,Q1333348,,,,,,,,,,,,,,"https://viaf.org/viaf/54252957/#Legouv%C4%97,_Ernest,_1807-1903",,
