Colaborador,Fuente,Seudonimo,Sexo,Origen,Nacimiento,Muerte,GND_ID,Wikidata_ID,Colaboradores_GND,Sexo o género_GND,Fecha de nacimiento_GND,Fecha de fallecimiento_GND,Lugar de nacimiento GND,País de origen GND,Colaboradores_Wikidata,sexo o género_Wikidata,Lugar de nacimiento_Wikidata,País de origen_Wikidata,Fecha de nacimiento_Wikidata,Fecha de fallecimiento_Wikidata,Colaborador_VIAF,Link_VIAF,Otras fuentes,
"Abad Gómez, Héctor",https://www.wikidata.org/wiki/Q9006166,,M,Colombia,1921,1987,119034158,Q9006166,"Abad Gómez, Héctor",Unbekannt,1921,1987,,,Héctor Abad Gómez,male,Jericó,Colombia,1921-01-01T00:00:00Z,1987-08-25T00:00:00Z,"Abad Gómez, Héctor",http://viaf.org/viaf/262529081,262529081,
"Abadía Arango, Sergio",WW Latin America 1; QeQ Ven.; Sánchez: Diccionario; Gaitán,,M,Colombia,1896,1973,,,"Abadía Arango, Sergio",,,,,,"Abadía Arango, Sergio",,,,,,Sergio Abadía Arango,http://viaf.org/viaf/2165569899637431433,"2,17E+18",
"Abella Mendoza, Temístocles",Otero Muñoz: Seudónimos de escritores colombianos,,M,Colombia,1841,1914,,,,,,,,,,,,,,,,,,
"Abella Rodríguez, Arturo",https://www.wikidata.org/wiki/Q5707081,,M,Colombia,1915,2006,1047919575,Q5707081,"Abella, Arturo",Unbekannt,1915,,,,Arturo Abella Rodríguez,male,Bogotá,Colombia,1915-10-18T00:00:00Z,2006-02-18T00:00:00Z,"Abella Rodríguez, Arturo",http://viaf.org/viaf/268567155,268567155,
"Acebal, Francisco",https://es.wikipedia.org/wiki/Francisco_Acebal,,M,España,1866,1933,1047928736,Q2251006,,,,,,,,,,,,,,http://viaf.org/viaf/25927607,,
"Acevedo Bernal, Ricardo",https://www.wikidata.org/wiki/Q3208686,,M,Colombia,1867,1930,1244238716,Q3208686,,,,,,,,,,,,,,"https://viaf.org/viaf/90701654/#Acevedo_Bernal,_Ricardo,_1867-1930",,
"Acevedo Carmona, Jairo",https://d-nb.info/gnd/104792837X,,M,Colombia,,,104792837X,,"Acevedo Carmona, Jairo",Unbekannt,,,,,"acevedo c., jairo",,,,,,"Acevedo C., Jairo",http://viaf.org/viaf/25918550,25918550,
"Acevedo Restrepo, Delfín",https://d-nb.info/gnd/131679163,,M,Colombia,,,131679163,,"Acevedo Restrepo, Delfín",Unbekannt,,,,,"acevedo restrepo, delfin",,,,,,"Acevedo Restrepo, Delfín",http://viaf.org/viaf/74991596,74991596,
"Acevedo, Arturo",,NA,M,Colombia,1876,1950,,Q2839714,,,,,,,Arturo Acevedo Vallarino,male,Bogotá,Colombia,1873,1950,"Acevedo Vallarino, Arturo",https://viaf.org/viaf/41787493/,https://catalogue.bnf.fr/ark:/12148/cb17046813z,
"Achury Valenzuela, Darío",https://www.wikidata.org/wiki/Q105770609,,M,Colombia,1906,1999,1056428090,Q105770609,"Achury Valenzuela, Darío",Unbekannt,1906,,,,Dario Achury Valenzuela,male,Guatavita,Colombia,1906-05-16,1999-01-17,"Achury Valenzuela, Darío",http://viaf.org/viaf/109508012,109508012,
"Acosta A., José María",Sánchez: Diccionario,,M,Colombia,1918,,,,"Acosta A., José María",,,,,,"Acosta A., José María",,,,,,"Acosta A., José María",,,
"Acosta Borrero, Pedro",QeQ Ven.; Sánchez: Diccionario,,M,Colombia,1927,,131935941,,"Acosta Borrero, Pedro",Unbekannt,,,,,"Acosta Borrero, Pedro",,,,,,"Acosta Borrero, Pedro",http://viaf.org/viaf/8431159477629527990008,"8,43E+21",
"Acosta de Samper, Soledad",https://www.wikidata.org/wiki/Q7557523,,F,Colombia,1833,1913,119492385,Q7557523,"Acosta de Samper, Soledad",Unbekannt,1833-05-05,1913-03-17,Bogotá,Kolumbien,Soledad Acosta,female,Bogotá,Colombia,1833-05-05,1913-03-17,"Acosta de Samper, Soledad",http://viaf.org/viaf/120747916,120747916,
"Acosta Hoyos, Luis Eduardo",https://d-nb.info/gnd/1047929104,,M,Colombia,,,1047929104,,"Acosta Hoyos, Luis Eduardo",Unbekannt,,,,,"acosta hoyos, luis eduardo",,,,,,"Acosta-Hoyos, Luis Eduardo",http://viaf.org/viaf/65375743,65375743,
"Acosta Penagos, Alberto",QeQ Ven.; Sánchez: Diccionario,,M,Colombia,1920,,,,"Acosta Penagos, Alberto",,,,,,"Acosta Penagos, Alberto",,,,,,"Acosta Penagos, Alberto",,,
"Acosta Restrepo, Luz María",https://d-nb.info/gnd/1047926520,,F,Colombia,,,1047926520,,"Acosta Restrepo, Luz María",Unbekannt,,,,,"acosta restrepo, luz maria",,,,,,"Acosta Restrepo, Luz María",http://viaf.org/viaf/306368940,306368940,
"Acosta y Bello, José Agustín",,NA,M,Cuba,1886,1979,11908595X,Q399066,"Acosta, Agustín",,1886,1979,,Kuba,Agustín Acosta Bello,male,Matanzas,Cuba,1886-11-12,28926,"Acosta, Agustín",https://viaf.org/viaf/33528543/,,
"Acosta, Javier","Flores de varia poesía / [Acosta Don, Javier ... et al.]. Selección Samper Ortega de Literatura Colombiana. Bogotá : Editorial Minerva, 1937.",,M,Colombia,,,,,,,,,,,,,,,,,,,,
"Acosta, Lola de",Sánchez: Diccionario; Echavarria,,F,Colombia,1922,,,,"Acosta, Lola de",,,,,,"Acosta, Lola de",,,,,,"Acosta, Lola de",,,
"Acremant, Albert",https://www.wikidata.org/wiki/Q88342108,,M,Francia,1889,1996,124229549,Q88342108,"Acremant, Germaine",Unbekannt,1889,1996,,,Albert Acremant,male,Arras,France,1882-02-03,1942-07-24,"Acremant, Albert",http://viaf.org/viaf/71478456,71478456,
"Acuña Porra, Adolfo",Sánchez: Diccionario,,M,Colombia,1930,1982,,,"Acuña Porra, Adolfo",,,,,,"Acuña Porra, Adolfo",,,,,,"Acuña Porra, Adolfo",,,
"Agudelo Castrillón, Aurelio",Sánchez: Diccionario,Auro de Lollón,M,Colombia,1898,,,,,,,,,,,,,,,,,,,
"Agudelo Chavarriaga, Carlos",Sánchez: Diccionario,,M,Colombia,1906,1982,,,,,,,,,,,,,,,,,,
"Agudelo de G., Mara",https://d-nb.info/gnd/1056623535,,F,Colombia,1931,,1056623535,,"Agudelo, Mara",Unbekannt,1931-01-05,,,,"Agudelo de G., Mara",,,,,,"Agudelo de G., Mara",http://viaf.org/viaf/36540579,36540579,
"Agudelo Villa, Hernando",https://www.wikidata.org/wiki/Q5895937,,M,Colombia,1923,2010,170654915,Q5895937,"Agudelo Villa, Hernando",Unbekannt,1923,,,,Hernando Agudelo Villa,male,Medellín,Colombia,1923-03-09T00:00:00Z,2010-07-29T00:00:00Z,"Agudelo Villa, Hernando",http://viaf.org/viaf/262464516,262464516,
"Agudelo, Gilberto",Ospina; Sánchez: Diccionario; Echavarria,Dex,M,Colombia,1889,1955,,,"Agudelo, Gilberto",,,,,,"Agudelo, Gilberto",,,,,,"Agudelo, Gilberto",http://viaf.org/viaf/61087059,61087059,
"Agudelo, Mara",https://d-nb.info/gnd/1056623535,,F,Colombia,1931,,1056623535,,"Agudelo, Mara",Unbekannt,1931-01-05,,,,"AGUDELO, MARA",,,,,,"Agudelo de G., Mara, 1931-",http://viaf.org/viaf/36540579,36540579,
"Agudelo, Miguel",Sánchez: Diccionario Autores Antioqueños,David Guerrero,M,Colombia,1883,1954,,,,,,,,,,,,,,,,,,
"Aguilera Herrera, Benjamín","Vergara Barros, Ensayo sobre la vida y las obras de Quinto Horacio Flaco",,M,Colombia,,,,,,,,,,,,,,,,,,,,
"Aguilera, Miguel",https://www.wikidata.org/wiki/Q29168340,,M,Colombia,1895,1973,1056713690,Q29168340,"Aguilera, Miguel",Unbekannt,,1973,,,Miguel Aguilera,male,,,1895-01-01,1973-01-01,"Aguilera, Miguel",http://viaf.org/viaf/56170778,56170778,
"Aguirre López, Luis Enrique",Sánchez: Diccionario,Ci-Mi-Fú,M,Colombia,1921,,1056336935,,"Aguirre López, Enrique",Unbekannt,,,,,"Aguirre López, Luis Enrique",,,,,,"Aguirre López, Luis Enrique",,,
"Aguirre, Pedro Claver",https://d-nb.info/gnd/1060692929,,M,Colombia,,,1060692929,,"Aguirre, Pedro Claver",Unbekannt,,,,,"AGUIRRE, PEDRO CLAVER",,,,,,"Aguirre, Pedro Claver",http://viaf.org/viaf/311452897,311452897,
Agustín,https://es.wikipedia.org/wiki/Agust%C3%ADn_de_Hipona,San Agustín,M,Argelia,396,430,118505114,Q8018,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q8018,,
"Airó Arveras Oria, Clemente",QeQ Ven.; Minchero; Instituto Nacional: Letras; López de Zuazo; Sánchez: Diccionario; Becco; Gullón; Aira,Clemente Airó,M,España,1918,1975,,,"Airó Arveras Oria, Clemente",,,,,,"Airó Arveras Oria, Clemente",,,,,,"Airó Arveras Oria, Clemente",,,
"Alarcón, Pedro Antonio de",https://es.wikipedia.org/wiki/Pedro_Antonio_de_Alarc%C3%B3n,,M,España,1833,1891,118869302,Q313553,,,,,,,,,,,,,,http://viaf.org/viaf/44294383,,
"Alba Barrenechea, Antonio",https://culturayarteancashino.blogspot.com/2012/01/la-poesia-ancashina-del-siglo-xx.html,Juan de Bohemia,M,Perú,1907,1960,,,,,,,,,,,,,,,,,,
"Albalat, Antoine",https://fr.wikipedia.org/wiki/Antoine_Albalat,NA,M,Francia,1856,1935,https://d-nb.info/gnd/171957784,https://www.wikidata.org/wiki/Q2853574,"Albalat, Antoine",M,1856,1935,Brignoles,Francia,Antoine Albalat,M,Brignoles,Francia,13 de February de 1856,13049,"Albalat, Antoine",https://viaf.org/viaf/2566708/,,
"Albán, Francisco",https://www.wikidata.org/wiki/Q108575047,,M,Ecuador,1720,,,Q108575047,"Albán, Francisco",,,,,,Francisco Albán,male,,,1720-01-01T00:00:00Z,,"Albán, Francisco",,,
"Albarracín C., Jacinto",Sánchez: Diccionario,,M,Colombia,1876,1982,,,,,,,,,,,,,,,,,,
"Alberdi, Juan Bautista",https://es.wikipedia.org/wiki/Juan_Bautista_Alberdi,,M,Argentina,1810,1884,118644254,Q722738,,,,,,,,,,,,,,http://viaf.org/viaf/32016466,,
"Alcalá Galiano, José",https://es.wikipedia.org/wiki/Jos%C3%A9_Alcal%C3%A1_Galiano,,M,España,1843,1919,1224485246,Q9015457,,,,,,,,,,,,,,http://viaf.org/viaf/5599161030929523920005,,
"Alcántara Jurado, Francisco",https://www.wikidata.org/wiki/Q5865035,,M,España,1854,1930,,Q5865035,,,,,,,,,,,,,,"https://viaf.org/viaf/62685032/#Alc%C3%A1ntara,_Francisco_1854-1930",,
"Alemán, Mateo",,,M,España,1547,1613,https://d-nb.info/gnd/118501771,,,,,,,,,,,,,,,,,
"Alexis Rostand, Edmond Eugène",https://it.wikipedia.org/wiki/Edmond_Rostand,NA,M,Francia,1868,1918,https://d-nb.info/gnd/118791281,https://www.wikidata.org/wiki/Q202749,"Rostand, Edmond",M,1868,1918,Marsella,Francia,Edmond Rostand,M,Marsella,Francia,1 de April de 1868,6911,"Rostand, Edmond",https://viaf.org/viaf/7396516/,,
"Allais, Alphonse",http://viaf.org/viaf/302147306,,M,Francia,1854,1905,118648209,Q371905,"Allais, Alphonse",Männlich,1854-10-20,1905-10-28,Honfleur,Frankreich,Alphonse Allais,male,Honfleur,France,1854-10-20,1905-10-28,"Allais, Alphonse",http://viaf.org/viaf/302147306,,
"Altamira, Rafael",https://es.wikipedia.org/wiki/Rafael_Altamira,,M,España,1866,1951,118949624,Q425592,,,,,,,,,,,,,,http://viaf.org/viaf/56630614,,
"Altenberg, Peter",https://www.wikidata.org/wiki/Q44972,,M,Austria,1859,1919,118502255,Q44972,"Altenberg, Peter",Männlich,1859-03-09,1919-01-08,Wien,Österreich,Peter Altenberg,male,Vienna,Austria,1859-03-09,1919-01-08,"Altenberg, Peter",http://viaf.org/viaf/14765396,14765396,
"Álvarez Atehortúa, Mauro",https://d-nb.info/gnd/1057131814,,M,Colombia,1938,,1057131814,,"Álvarez A., Mauro",Unbekannt,1938,,,,"Álvarez Atehortúa, Mauro",,,,,,"Álvarez Atehortúa, Mauro",,,
"Álvarez Bonilla, Enrique",https://www.wikidata.org/wiki/Q81619303,,M,Colombia,1848,1913,,Q81619303,"Alvarez Bonilla, Enrique",Unbekannt,,,,,Enrique Álvarez Bonilla,,,,1848-01-01T00:00:00Z,1913-01-01T00:00:00Z,"Alvarez Bonilla, Enrique",,,
"Álvarez de Velasco y Zorrilla, Francisco",https://www.wikidata.org/wiki/Q3751071,,M,Colombia,1647,1708,119401614,Q3751071,"Alvarez de Velasco y Zorrilla, Francisco",Unbekannt,1647,1704,,,Francisco Álvarez de Velasco y Zorrilla,male,Bogotá,Colombia,1647-08-11T00:00:00Z,1708-01-01T00:00:00Z,"Álvarez de Velasco y Zorrilla, Francisco",http://viaf.org/viaf/45110825,45110825,
"Alvarez Garzón, Juan",WW Latin America 1; Sánchez: Diccionario; Ardila/Viscaino; Echavarria,,M,Colombia,1898,1974,,,"Alvarez Garzón, Juan",,,,,,"Alvarez Garzón, Juan",,,,,,"Alvarez Garzón, Juan",http://viaf.org/viaf/360145856873722920493,"3,60E+20",
"Álvarez Henao, Enrique",Mesa; Ospina; Otero Muñoz; González/Zafir; Minchero; Sánchez: Diccionario,,M,Colombia,1871,1914,,Q15634971,"Álvarez, Enrique",,,,,,"Álvarez Henao, Enrique",male,,,1871,1914,"Álvarez, Enrique",,,
"Álvarez Lleras, Antonio",https://www.wikidata.org/wiki/Q606189,,M,Colombia,1892,1956,,Q606189,"Alvarez Lleras, Antonio",,,,,,Antonio Alvarez Lleras,male,Bogotá,Colombia,1892-01-01T00:00:00Z,1956-01-01T00:00:00Z,"Alvarez Lleras, Antonio",http://viaf.org/viaf/60957161,60957161,
"Álvarez Quintero, Joaquín",https://es.wikipedia.org/wiki/Hermanos_%C3%81lvarez_Quintero,,M,España,1873,1944,134111958,Q3179780,,,,,,,,,,,,,,http://viaf.org/viaf/64153963,,
"Álvarez Quintero, Serafín",https://es.wikipedia.org/wiki/Hermanos_%C3%81lvarez_Quintero,,M,España,1871,1938,134111990,,,,,,,,,,,,,,,http://viaf.org/viaf/88977969,,
"Álvarez Restrepo, Antonio",https://d-nb.info/gnd/1056382139,,M,Colombia,1906,,1056382139,,"Alvarez Restrepo, Antonio",Unbekannt,1906,,,,"ALVAREZ RESTREPO, ANTONIO",,,,,,"Alvarez Restrepo, Antonio 1906-",http://viaf.org/viaf/309753095,309753095,
"Álvarez Ríos, María",https://es.wikipedia.org/wiki/Mari%C3%A1_%C3%81lvarez_Rios,,F,Cuba,1919,2010,,Q20273370,,,,,,,,,,,,,,"https://viaf.org/viaf/43943225/#%C3%81lvarez_R%C3%ADos,_Mar%C3%ADa_1919-2010",,
"Álvarez, Jaime",https://d-nb.info/gnd/133962296,,M,Colombia,1917,,133962296,,"Alvarez, Jaime",Unbekannt,1917,,,,"ALVAREZ, JAIME",,,,,,"ALVAREZ, JAIME",,,
"Álvarez, Rosa E. de Marín",Sánchez: Diccionario,,F,Colombia,1906,,,,"Alvarez, Rosa E. de Marín",,,,,,"Alvarez, Rosa E. de Marín",,,,,,"Alvarez, Rosa E. de Marín",,,
"Alvear Restrepo, Carlos",Sánchez: Diccionario Autores Antioqueños,Remigio Risa,M,Colombia,,,,,,,,,,,,,,,,,,,,
"Alvear Restrepo, José",https://www.wikidata.org/wiki/Q112047897,,M,Colombia,1913,1953,,Q112047897,"ALVEAR RESTREPO, JOSÉ",,,,,,José Alvear Restrepo,male,,,,,"Alvear Restrepo, José 1913-1953",http://viaf.org/viaf/68601343,68601343,
"Alzate Avendaño, Gilberto",https://www.wikidata.org/wiki/Q732910,,M,Colombia,1910,1960,1027546110,Q732910,"Alzate Avendaño, Gilberto",Männlich,1910-10-10,1960-11-26,Manizales,Kolumbien,Gilberto Alzate Avendaño,male,Manizales,Colombia,1910-10-10T00:00:00Z,1960-11-26T00:00:00Z,"Alzate Avendaño, Gilberto, 1910-1960",http://viaf.org/viaf/35771608,35771608,
"Alzate Noreña, Luis","Álvarez Restrepo, Bibliografía:  https://www.ecured.cu/Luis_Alzate_Nore%C3%B1a",,M,Colombia,1889,1939,,,,,,,,,,,,,,,,,https://www.diccionariodecolombia.expert/diccionario-enciclopedico/alzate-norena-luis/,
"Alzate Sanders, Teresa",https://d-nb.info/gnd/1060678977; Echavarria,,F,Colombia,1933,,1060678977,,"Alzate Sanders, Teresa",Unbekannt,,,Antioquia,Kolumbien,"SANDERS, TERESA",,,,,,"Sanders, Teresa",http://viaf.org/viaf/25857799,25857799,
"Amaris Asdrúbal, José",Sánchez: Diccionario,,M,Colombia,1923,,,,"Amaris Asdrúbal, José",,,,,,"Amaris Asdrúbal, José",,,,,,"Amaris Asdrúbal, José",,,
Amaru,https://www.wikidata.org/wiki/Q455251,Amarou,M,India,ca. VII,ca. VII,https://d-nb.info/gnd/11905356X,https://www.wikidata.org/wiki/Q455251,,,,,,,,,,,,,,http://viaf.org/viaf/266970001,,
"Amaya Villamil, Alejo",Sánchez: Diccionario,,M,Colombia,1906,,1057219150,,"Amaya, Alejo",Unbekannt,,,,,"Amaya Villamil, Alejo",,,,,,"Amaya Villamil, Alejo",,,
"Amaya, Euquerio",https://d-nb.info/gnd/1011910020,"Milanés, Adolfo",M,Colombia,1883,1931,1011910020,Q97503541,"Milanés, Adolfo",Unbekannt,1883,1931,,,Adolfo Milanés,male,,,,,"Milanés, Adolfo",,,
"Amézaga, Carlos Germán",,,M,Perú,1862,1906,https://d-nb.info/gnd/1228125295,https://www.wikidata.org/wiki/Q15634974,https://www.wikidata.org/wiki/Q15634974,,,,,,,,,,,,,http://viaf.org/viaf/56505604,,
"Amiel, Henri-Frédéric",http://viaf.org/viaf/39372874,,M,Suiza,1821,1881,,,,,,,,,,,,,,,,,,
"Amórtegui Rojas, Octavio",https://d-nb.info/gnd/1056310383,,M,Colombia,1901,1990,1056310383,,"Amórtegui, Octavio",Unbekannt,1901-02-19,1990,,,"Amórtegui Rojas, Octavio",,,,,,"Amórtegui, Octavio, 1901-1990",http://viaf.org/viaf/18564010,18564010,
"Ancízar, Manuel","Laverde Amaya, Apuntes; Otero Muñoz 1958:  https://es.wikipedia.org/wiki/Manuel_Anc%C3%ADzar",,M,Colombia,1812,1882,1056685158,Q6752381,,,,,,,,,,,,,,http://viaf.org/viaf/33525691,,
"Ancízar, Roberto",Ospina,,M,Colombia,,1920,,,,,,,,,,,,,,,,,,
"Anderson Morúa, Luis",https://es.wikipedia.org/wiki/Luis_Anderson_Mor%C3%BAa,Luis Anderson,M,Costa Rica,1873,1948,,Q5982764,,,,,,,,,,,,,,http://viaf.org/viaf/198145857111322922280,,
"Andrade Barriga, José Arturo",https://www.banrep.gov.co/sites/default/files/publicaciones/archivos/rbr_nota_222.pdf;,,M,Colombia,1891,1946,,,,,,,,,,,,,,,,,,
"Andrade Coello, Alejandro",,NA,M,Ecuador,1886,1943,1057076244,,"Andrade Coello, Alejandro",,1886,1943,,Ecuador,,,,,,,"Andrade Coello, Alejandro",https://viaf.org/viaf/11320124/,https://biblioteca.casadelacultura.gob.ec/cgi-bin/koha/opac-authoritiesdetail.pl?authid=553,
"Andrade Marín, Francisco",https://es.wikipedia.org/wiki/Francisco_Andrade_Mar%C3%ADn,,M,Ecuador,1841,1935,,Q963943,,,,,,,,,,,,,,https://viaf.org/viaf/search?query=local.names%20all%20%22Andrade%20Marin%2C%20Francisco%201841%201935%22&sortKeys=holdingscount&recordSchema=BriefVIAF,,
"Andrade, José Arturo",Catálogo de autoridades BNC,,M,Colombia,1891,1946,,,,,,,,,,,,,,,,http://viaf.org/viaf/291373655,,
"Andrade, Luis Ignacio",https://d-nb.info/gnd/1056480467,,M,Colombia,1894,1951,1056480467,,"Andrade, Luis Ignacio",Unbekannt,1894,1951,,,"Andrade, Luis Ignacio",,,,,,"Andrade, Luis Ignacio 1894-1951",http://viaf.org/viaf/309761756,309761756,
"Andreev, Leonid Nikolaevich",https://es.wikipedia.org/wiki/Leonid_Andr%C3%A9iev,"Andree, Leonid N.",M,Rusia,1871,1919,https://d-nb.info/gnd/118637703,https://www.wikidata.org/wiki/Q310866,,,,,,,,,,,,,,https://viaf.org/viaf/76311189/,,
"Andreis, Fernando de","Ortega Hernández, Manuel Guillermo. (2008). Literatura en el Caribe colombiano o las intrusiones del margen. Cuadernos de literatura del Caribe e Hispanoamérica (7), pp. 283-289.",,M,Colombia,1900,,,,,,,,,,,,,,,,,,,
"Angarita Somoza, Agustín",QeQ Ven.; Sánchez: Diccionario,,M,Colombia,1922,,,,"Angarita Somoza, Agustín",,,,,,"Angarita Somoza, Agustín",,,,,,"Angarita Somoza, Agustín",,,
"Ángel Montoya, Alberto",https://www.wikidata.org/wiki/Q5663724,,M,Colombia,1902,1970,,Q5663724,"Ángel Montoya, Alberto",,,,,,Alberto Ángel Montoya,male,Bogotá,Colombia,1902-03-30T00:00:00Z,1970-11-20T00:00:00Z,"Ángel Montoya, Alberto",http://viaf.org/viaf/17481831,17481831,
"Ángel Vallejo, Félix",http://viaf.org/viaf/10157882685360440669;Sánchez: Diccionario Autores Antioqueños,Angel Ríos,M,Colombia,1903,1996,,,,,,,,,,,,,,,"Vallejo, Félix Angel 1903-1996",http://viaf.org/viaf/10157882685360440669,"1,02E+19",
"Angell, George Thorndike",https://es.wikipedia.org/wiki/George_Thorndike_Angell,,M,Estados Unidos,1823,1909,1089612842,Q5545204,,,,,,,,,,,,,,"https://viaf.org/viaf/40844415/#Angell,_George_T._(George_Thorndike),_1823-1909",,
"Angulo J., Enriqueta",Sánchez: Diccionario,,F,Colombia,,,,,,,,,,,,,,,,,,,https://webcache.googleusercontent.com/search?q=cache:SwHoQLvdmmYJ:https://revistas.udea.edu.co/index.php/elc/article/download/17410/15021/60576&cd=14&hl=es-419&ct=clnk&gl=co,
"Angulo Peláez, Ligia",https://d-nb.info/gnd/1241583986,,F,Colombia,1910,2002,1241583986,,"Angulo Peláez, Ligia",Unbekannt,1910,2002,,,"ANGULO PELAEZ, LIGIA",,,,,,"Angulo Peláez, Ligia 1910-2002",http://viaf.org/viaf/4617163274273912440003,"4,62E+21",
"Antolínez, Luis Enrique",http://viaf.org/viaf/313413155,,M,Colombia,1891,1920,,,"Antolínez, Luis Enrique",,,,,,"Antolínez, Luis Enrique",,,,,,"Antolínez, Luis Enrique",http://viaf.org/viaf/313413155,313413155,
"Antommarchi de Rojas, Dorila",Pérez Ortiz 1961,Colombiana,F,Colombia,1850,1923,,Q5297831,,,,,,,,,,,,,,,,
"Añez, Julio",Laverde 3; Ospina; Otero Muñoz; Sánchez: Diccionario,t. Añes,M,Colombia,1857,1899,,,"Añez, Julio",,,,,,"Añez, Julio",,,,,,"Añez, Julio, 1850-",http://viaf.org/viaf/138808262,138808262,
"Aragonés, Eutiquio",,,M,México,1894,1970,,,,,,,,,,,,,,,,http://viaf.org/viaf/271054995,,
"Aramburo Restrepo, Gabriel",Sánchez: Diccionario Escritores Antioqueños,,M,Colombia,1912,,,,,,,,,,,,,,,,,,,
"Arana Londoño, Francisco",https://d-nb.info/gnd/102975022X,,M,Costa Rica,1878,,102975022X,,"Arana, Francisco",Unbekannt,1878-07-19,,Alajuela,Costa Rica,"Arana Londoño, Francisco",,,,,,"Arana Londoño, Francisco",,,
"Arango Ferrer, Javier",https://d-nb.info/gnd/1056540133,,M,Colombia,1905,1984,1056540133,,"Arango Ferrer, Javier",Unbekannt,1905,1984,Antioquia,Kolumbien,"ARANGO FERRER, JAVIER",,,,,,"Arango Ferrer, Javier",http://viaf.org/viaf/93815570,93815570,
"Arango Franco, Ricardo",Ospina; Sánchez: Diccionario; Echavarria,,M,Colombia,1896,1965,,,,,,,,,,,,,,,,,,
"Arango M., Miguel",Álvarez Restrepo: Bibliografía,,M,Colombia,,,,,,,,,,,,,,,,,,,,
"Arango Mejía, Gabriel",Sánchez: Diccionario,Agrícola; Galeano Barriga,M,Colombia,1872,1958,,,"Arango Mejía, Gabriel",,,,,,"Arango Mejía, Gabriel",,,,,,"Arango Mejía, Gabriel",http://viaf.org/viaf/50930615,50930615,
"Arango Mejía, Juan Bautista",Gallo Martínez: Diccionario Biográfico de Antioqueños,,M,Colombia,1876,,,,,,,,,,,,,,,,,,,
"Arango Saraz, Fabio",https://d-nb.info/gnd/126123950,,M,Colombia,,,126123950,,"Arango Saraz, Fabio",Unbekannt,,,,,"ARANGO SARAZ, FABIO",,,,,,"Arango Saraz, Fabio",http://viaf.org/viaf/25586512,25586512,
"Arango, Antonio J.",Sánchez: Diccionario,,M,Colombia,1906,1980,,,"Arango, Antonio J.",,,,,,"Arango, Antonio J.",,,,,,"Arango, Antonio J.",,,
"Arango, Gonzalo",https://www.wikidata.org/wiki/Q1537336,,M,Colombia,1931,1976,1053086792,Q1537336,"Arango, Gonzalo",Unbekannt,1931-01-18,1976-09-25,,,Gonzalo Arango,male,Andes,Colombia,1931-01-18T00:00:00Z,1976-09-25T00:00:00Z,"Arango, Gonzalo, 1931-1976",http://viaf.org/viaf/54162054,54162054,
"Arango, Luis Ángel",https://www.wikidata.org/wiki/Q5984628,,M,Colombia,1903,1957,,Q5984628,"ARANGO, LUIS ANGEL",,,,,,Luis Ángel Arango,male,Medellín,Colombia,1903-11-13T00:00:00Z,1957-01-13T00:00:00Z,"Arango, Luis Angel, 1903-1957",http://viaf.org/viaf/304133491,304133491,
"Arango, Pedro C.",Álvarez Restrepo: Bibliografía,,M,Colombia,,,,,,,,,,,,,,,,,,,,
"Araquistáin, Luis",https://es.wikipedia.org/wiki/Luis_Araquist%C3%A1in,,M,España,1886,1959,123488729,Q2074856,,,,,,,,,,,,,,"https://viaf.org/viaf/24616799/#Araquist%C3%A1in,_Luis,_1886-1959",,
"Arbeláez, Fernando",http://viaf.org/viaf/50743198,,M,Colombia,1924,1995,1122700369,,"Arbeláez, Fernando",Unbekannt,,,,,"Arbeláez, Fernando",,,,,,"Arbeláez, Fernando",http://viaf.org/viaf/50743198,50743198,
"Arboleda R., Gustavo",https://www.wikidata.org/wiki/Q5889471,,M,Colombia,1881,1938,1056269596,Q5889471,"Arboleda, Gustavo",Unbekannt,1881-11-24,1938-12-14,Popayán,Kolumbien,Gustavo Arboleda,male,Popayán,Colombia,1881-01-01T00:00:00Z,1938-01-01T00:00:00Z,"Arboleda, Gustavo, 1881-1938",http://viaf.org/viaf/70573720,70573720,
"Arboleda, Arturo","Ospina, Joaquín: Diccionario biográfico y bibliográfico de Colombia. - Bogotá : Cromos, 1927-1939",,M,Colombia,1885,1927,,,,,,,,,,,,,,,,,,
"Arboleda, Julio",https://www.wikidata.org/wiki/Q3189799,,M,Colombia,1817,1862,1055473025,Q3189799,"Arboleda, Julio",Unbekannt,1817,1862,,,Julio Arboleda Pombo,male,Popayán,Colombia,1817-06-09T00:00:00Z,1862-11-13T00:00:00Z,"Arboleda, Julio",http://viaf.org/viaf/40850132,40850132,
"Arce Figueroa, Manuel",https://www.wikidata.org/wiki/Q5992252,,M,Colombia,1909,1987,,Q5992252,"Arce Figueroa, Manuel",,,,,,Manuel Arce Figueroa,male,,,1909-10-03T00:00:00Z,1987-11-17T00:00:00Z,"Arce Figueroa, Manuel",,,
"Arce, Julio César","Ospina, Joaquín: Diccionario biográfico y bibliográfico de Colombia. - Bogotá : Cromos, 1927-1939; Sánchez López, Luis María: Diccionario de escritores colombianos. - 2a. ed. - Barcelona : Plaza & Janes, 1982","San Martín, Jorge de",M,Colombia,1885,1927,,,,,,,,,,,,,,,,,,
