NombreR,NumContrib,Colaborador,Roles,Seudonimo,PaisOrigen,Titulo,NumFasciculo,Fecha,Fecha-ISO,Traduccion,Traductor,Lengua,LenguaOriginal,Tipo,TipoIndice,Dedicatoria,ObrasResenadas,CantidadPaginas,Paginacion
Revista Contemporánea. Publicación mensual,28,Anónimo,Ilustrador,NA,NA,NA,2,noviembre de 1904,1904-11-01,No,NA,NA,NA,Imagen,NA,NA,NA,0.3,123
Revista Contemporánea. Publicación mensual,29,Anónimo,Ilustrador,NA,NA,NA,2,noviembre de 1904,1904-11-01,No,NA,NA,NA,Imagen,NA,NA,NA,0.3,124
Revista Contemporánea. Publicación mensual,30,"García Ortiz, Laureano",Creador,NA,Colombia,Fantasía de un bibliófilo,2,noviembre de 1904,1904-11-01,No,NA,Español,NA,Prosa Ficción,NA,NA,NA,15.7,124-140
Revista Contemporánea. Publicación mensual,31,"Gómez Restrepo, Antonio",Creador,NA,Colombia,El bautismo de pisa,2,noviembre de 1904,1904-11-01,No,NA,Español,NA,Poesía,NA,"Uribe, Diego",NA,0.9,141
Revista Contemporánea. Publicación mensual,32,"Gómez Restrepo, Antonio",Creador,NA,Colombia,Santa Cecilia,2,noviembre de 1904,1904-11-01,No,NA,Español,NA,Poesía,NA,NA,NA,0.9,142
Revista Contemporánea. Publicación mensual,33,"Carvajal, Manuel Antonio",Creador,M. A. Carvajal,Colombia,Simbolismos de la floresta. I. El lirio,2,noviembre de 1904,1904-11-01,No,NA,Español,NA,Poesía,NA,NA,NA,0.9,143
Revista Contemporánea. Publicación mensual,34,"Carvajal, Manuel Antonio",Creador,M. A. Carvajal,Colombia,Simbolismos de la floresta. II. Orquidea solitaria,2,noviembre de 1904,1904-11-01,No,NA,Español,NA,Poesía,NA,NA,NA,1,144
Revista Contemporánea. Publicación mensual,35,"Sanín Cano, Baldomero",Director,NA,Colombia,El impresionismo en Bogotá,2,noviembre de 1904,1904-11-01,No,NA,Español,NA,Prosa No Ficción,NA,NA,NA,10.5,1445-156
Revista Contemporánea. Publicación mensual,36,Anónimo,Ilustrador,NA,NA,NA,2,noviembre de 1904,1904-11-01,No,NA,NA,NA,Imagen,NA,NA,NA,0.5,156
Revista Contemporánea. Publicación mensual,37,"Hinestroza Daza, Ricardo",Director,R.H.D.,NA,La Revue des Idees,2,noviembre de 1904,1904-11-01,No,NA,Español,NA,Reseña de revista,Notas,NA,La Revue des Idees (revista de parisina),15.3,157-173
Revista Contemporánea. Publicación mensual,38,"Bolce, William Harold",Creador,The Two Pacifics del Booklovers Magazine,Estados Unidos,Los japoneses juzgados por un americano,2,noviembre de 1904,1904-11-01,Sí,"Sanín Cano, Baldomero",Español,Inglés,Prosa No Ficción,Notas,NA,NA,01.4,174-175
Revista Contemporánea. Publicación mensual,39,Anónimo,Reseñista,NA,NA,Ideas,2,noviembre de 1904,1904-11-01,No,NA,Español,NA,Reseña de revista,Notas,NA,Ideas (Revista mensual argentina),0.5,175-176
Revista Contemporánea. Publicación mensual,40,"Rojas, Julio A.",Creador,NA,NA,El alma de la raza,2,noviembre de 1904,1904-11-01,No,NA,Español,NA,Prosa Ficción,Notas,NA,NA,01.3,176-177
