NombreR,NumContrib,Colaborador,Roles,Seudonimo,PaisOrigen,Titulo,NumFasciculo,Fecha,Fecha-ISO,Traduccion,Traductor,Lengua,LenguaOriginal,Tipo,TipoIndice,Dedicatoria,ObrasResenadas,CantidadPaginas,Paginacion
Cvltura. Revista mensual,17,"D'Ors, Eugenio",Creador,NA,España,PALACIO DE LOCO,2,"MARZO, MCMXV",1915-03-01,No,NA,Español,NA,Prosa Ficción,NA,"Massó y Torrents, Jaime",NA,03.5,117-120
Cvltura. Revista mensual,18,"Asbjørnsen, Peter Christen",Creador,NA,Noruega,LOS HOMBRES NECIOS Y LAS MALAS COMADRES,2,"MARZO, MCMXV",1915-03-01,Sí,Anónimo,Español,Noruego,Prosa Ficción,NA,NA,NA,02.6,121-123
Cvltura. Revista mensual,19,"Carvajal, Manuel Antonio",Editor,"Carvajal, M.A.",Colombia,EL MODERNISMO LITERARIO EN LA AMERICA LATINA,2,"MARZO, MCMXV",1915-03-01,No,NA,Español,NA,Prosa No Ficción,NA,NA,NA,12,124-135
Cvltura. Revista mensual,20,"López de Mesa, Luis",Director,López de Mesa,Colombia,LO TRASCENDENTE,2,"MARZO, MCMXV",1915-03-01,No,NA,Español,NA,Prosa No Ficción,NA,NA,NA,8,136-143
Cvltura. Revista mensual,21,"Rivas, Raimundo",Editor,NA,Colombia,MEMORANDUM SOBRE LAS RELACIONES ENTRE COLOMBIA Y LA SANTA SEDE (Desde 1810),2,"MARZO, MCMXV",1915-03-01,No,NA,Español,NA,Prosa No Ficción,NA,NA,NA,3,144-146
Cvltura. Revista mensual,22,"López de Mesa, Luis",Director,NA,Colombia,AL MARGEN,2,"MARZO, MCMXV",1915-03-01,No,NA,Español,NA,Prosa No Ficción,NA,NA,NA,1,147
Cvltura. Revista mensual,23,"Paláu, Alfonso",Editor,NA,Colombia,LA CRISIS FISCAL Y LOS IMPUESTOS DE CONSUMO,3,"ABRIL, MCMXV",1915-04-01,No,NA,Español,NA,Prosa No Ficción,NA,NA,NA,3,149-151
Cvltura. Revista mensual,24,"Rivas, Raimundo",Editor,NA,Colombia,CONSIDERACIONES SOBRE LA HISTORIA NACIONAL,3,"ABRIL, MCMXV",1915-04-01,No,NA,Español,NA,Prosa No Ficción,NA,NA,NA,10.5,152-162
Cvltura. Revista mensual,25,Anónimo,Creador,NA,NA,LA VISION DE LAS RIQUEZAS,3,"ABRIL, MCMXV",1915-04-01,Sí,"Coradine, Alberto",Español,NA,Prosa No Ficción,Ensayo,NA,NA,06.5,163-169
Cvltura. Revista mensual,26,"Mateus, Jorge",Creador,NA,NA,"EL REY INDIO, MI ABUELO",3,"ABRIL, MCMXV",1915-04-01,No,NA,Español,NA,Poesía,Poesía,"Coradine, Alberto",NA,2,170-171
Cvltura. Revista mensual,27,Teócrito,Creador,NA,Grecia,LAS SIRACUSANAS (UNA FIESTA DE ADONIS),3,"ABRIL, MCMXV",1915-04-01,Sí,Anónimo,Español,Griego,Teatro,Teatro,NA,NA,4,172-175
Cvltura. Revista mensual,28,"Prévost, Marcel",Creador,NA,Francia,El ''KRACH'' DE LA BELLEZA,3,"ABRIL, MCMXV",1915-04-01,Sí,Anónimo,Español,Francés,Prosa No Ficción,NA,NA,NA,4.5,176-180
Cvltura. Revista mensual,29,"López de Mesa, Luis",Director,López de Mesa,Colombia,EVOLUCION DEL PENSAMIENTO ONTOLÓGICO,3,"ABRIL, MCMXV",1915-04-01,No,NA,Español,NA,Prosa No Ficción,Ensayo,NA,NA,13,181-193
Cvltura. Revista mensual,30,"Garavito Armero, Julio",Creador,"Garavito A., Julio",Colombia,LA CUESTION ECONOMICO-SOCIAL,3,"ABRIL, MCMXV",1915-04-01,No,NA,Español,NA,Prosa No Ficción,NA,NA,NA,9,194-202
